model,position_rmse,joint_rmse,training_time,inference_time,inference_time_per_sample,status,dof,model_type,timeout_count,failure_count
MDN,1.7905277432164812,1.7905277432164812,10.361940383911133,0.0007293224334716797,7.293224334716797e-07,success,7,ML,,
CVAE,2.1117830448051276,2.1117830448051276,9.90225076675415,0.0006775856018066406,6.775856018066406e-07,success,7,ML,,
Analytical_IK,2.703337773248102,2.703337773248102,0.0,0.06269621849060059,6.269621849060058e-05,success,7,Traditional,0.0,0.0
Jacobian_IK,2.2880396689789055,2.2880396689789055,0.0,12.035328388214111,0.012035328388214112,success,7,Traditional,0.0,0.0
SDLS_IK,2.73661251588177,2.73661251588177,0.0,60.10620188713074,0.060106201887130735,success,7,Traditional,0.0,0.0
KNN,1.9224315550765019,1.9224315550765019,0.017427444458007812,0.021892547607421875,2.1892547607421875e-05,success,8,ML,,
ELM,1.8035266203063924,1.8035266203063924,0.02533745765686035,0.0004737377166748047,4.737377166748047e-07,success,8,ML,,
RandomForest,1.843128092244673,1.843128092244673,0.6181957721710205,0.023560762405395508,2.3560762405395507e-05,success,8,ML,,
SVM,1.845792516557667,1.845792516557667,1.73337721824646,0.6175041198730469,0.0006175041198730469,success,8,ML,,
ANN,1.7940293044776907,1.7940293044776907,0.8598110675811768,0.0016341209411621094,1.6341209411621094e-06,success,8,ML,,
MDN,1.7938355322459323,1.7938355322459323,10.481661081314087,0.0007789134979248047,7.789134979248047e-07,success,8,ML,,
CVAE,2.132000555514322,2.132000555514322,10.040852785110474,0.0007467269897460938,7.467269897460938e-07,success,8,ML,,
Analytical_IK,2.627803285624295,2.627803285624295,0.0,0.036019086837768555,3.601908683776855e-05,success,8,Traditional,0.0,0.0
Jacobian_IK,2.385698359012043,2.385698359012043,0.0,10.463173389434814,0.010463173389434815,success,8,Traditional,0.0,0.0
SDLS_IK,2.7380372681759773,2.7380372681759773,0.0,74.12888216972351,0.0741288821697235,success,8,Traditional,0.0,0.0
KNN,1.9272230836525408,1.9272230836525408,0.006804227828979492,0.022605419158935547,2.2605419158935545e-05,success,9,ML,,
ELM,1.7976259186280363,1.7976259186280363,0.10004854202270508,0.0005731582641601562,5.731582641601562e-07,success,9,ML,,
RandomForest,1.8416260597721088,1.8416260597721088,1.0210316181182861,0.023056507110595703,2.3056507110595704e-05,success,9,ML,,
SVM,1.8559384868750455,1.8559384868750455,2.730323314666748,0.7008833885192871,0.0007008833885192871,success,9,ML,,
ANN,1.7916015199157849,1.7916015199157849,0.8802354335784912,0.0016493797302246094,1.6493797302246094e-06,success,9,ML,,
MDN,1.79579753913817,1.79579753913817,9.826155662536621,0.0008697509765625,8.697509765625e-07,success,9,ML,,
CVAE,2.1158612027861294,2.1158612027861294,10.045488595962524,0.0007600784301757812,7.600784301757813e-07,success,9,ML,,
Analytical_IK,2.5104085213127583,2.5104085213127583,0.0,0.03813004493713379,3.813004493713379e-05,success,9,Traditional,0.0,0.0
Jacobian_IK,2.4716908608964743,2.4716908608964743,0.0,7.9846765995025635,0.007984676599502563,success,9,Traditional,0.0,0.0
SDLS_IK,2.705345291759442,2.705345291759442,0.0,82.37868690490723,0.08237868690490723,success,9,Traditional,0.0,0.0
KNN,1.9393477704186233,1.9393477704186233,0.02831268310546875,0.024363040924072266,2.4363040924072267e-05,success,10,ML,,
ELM,1.8118511728614197,1.8118511728614197,0.022773027420043945,0.0006000995635986328,6.000995635986328e-07,success,10,ML,,
RandomForest,1.8488670868116728,1.8488670868116728,0.713458776473999,0.03984570503234863,3.984570503234863e-05,success,10,ML,,
SVM,1.8621191046814662,1.8621191046814662,2.1516222953796387,1.4932477474212646,0.0014932477474212647,success,10,ML,,
ANN,1.7977389704949873,1.7977389704949873,1.1422877311706543,0.00154876708984375,1.54876708984375e-06,success,10,ML,,
MDN,1.8054904225004813,1.8054904225004813,9.962029933929443,0.0009455680847167969,9.455680847167969e-07,success,10,ML,,
CVAE,2.1315719853486406,2.1315719853486406,10.052911043167114,0.0008535385131835938,8.535385131835938e-07,success,10,ML,,
Analytical_IK,2.4665178570303645,2.4665178570303645,0.0,0.06850004196166992,6.850004196166992e-05,success,10,Traditional,0.0,0.0
Jacobian_IK,2.4323522371714317,2.4323522371714317,0.0,7.0545878410339355,0.007054587841033935,success,10,Traditional,0.0,0.0
SDLS_IK,2.6973692381880396,2.6973692381880396,0.0,103.08992195129395,0.10308992195129395,success,10,Traditional,0.0,0.0
